# Extracted from EUR Doc 028 - EUR NSAP Address Registry, ICAO, v12.0, 11-Nov-2022
4700278183414C00014141010100004553303101,LAAA
4700278183445A00014141010100004553303101,DAAA
4700278183414D00014444010100004553303101,UDDD
4700278183415400015656010100004553303101,LOVV
4700278183415A00014242010100004553303101,UBBB
4700278183425900014D56010100004553303101,UMMV
4700278183424500014255010100004553303101,EBBU
4700278183424100015342010100004553303101,LQSB
4700278183424700015352010100004553303101,LBSR
4700278183485200015A4F010100004553303101,LDZO
4700278183435900014343010100004553303101,LCCC
4700278183435A00014141010100004553303101,LKAA
4700278183444B0001444B010100004553303101,EKDK
4700278183454500015454010100004553303101,EETT
4700278183657500014459000100004747313101,EDYY
470027818346490001494E010100004553303101,EFIN
4700278183465200014343014345532D42445801,LFBB
4700278183465200014343014345532D524D5301,LFEE
4700278183465200014343014345532D41544801,LFFF
4700278183465200014343014345532D41495801,LFMM
4700278183465200014343014345532D42535401,LFRR
4700278183474500014747010100004553303101,UGGG
4700278183444500014444010045444747000101,EDGG
4700278183444500014444010045444D4D000101,EDMM
4700278183444500014444010045445555000101,EDUU
4700278183444500014444010045445757000101,EDWW
4700278183475200014747010100004553303101,LGGG
4700278183475200014D44010100004553303101,LGMD
4700278183474C0001474C010100004553303101,BGGL
4700278183485500014343010100004553303101,LHCC
4700278183495300015244010100004553303101,BIRD
4700278183494500014457010100004553303101,EIDW
470027818349450001534E010100004553303101,EISN
4700278183494C00014C4C010100004553303101,LLLL
4700278183495400015252018D45534252000101,LIBB
4700278183495400015252018E45534D49000101,LIMM
4700278183495400015252018F45535044000101,LIPP
4700278183495400015252018C4553524D000101,LIRR
47002781834B5A00014141010100004553303101,UAAA
47002781834B5A00014343010100004553303101,UACC
47002781834B5A00014949010100004553303101,UAII
47002781834B5A00015454010100004553303101,UATT
47002781834B470001464D010100004553303101,UCFM
47002781834C5600015252010100004553303101,EVRR
47002781834C5400015643010100004553303101,EYVC
47002781834D5400014D4D010100004553303101,LMMM
47002781834D4100014D4D010100004553303101,GMMM
47002781834E4C00014141010100004553303101,EHAA
47002781834E4F00014244010100004553303101,ENBD
47002781834E4F00014F42010100004553303101,ENOB
47002781834E4F00014F53010100004553303101,ENOS
47002781834E4F00015356010100004553303101,ENSV
4700278183504C00015757010100004553303101,EPWW
47002781835054000150434C584C505043303101,LPPC
47002781834D4400015555010100004553303101,LUUU
4700278183524F00014242010100004553303101,LRBB
4700278183525500015545010155454545000101,UEEE
4700278183525500015545010155454C4C000101,UELL
4700278183525500015545010155455252000101,UERR
4700278183525500015548010155484848000101,UHHH
4700278183525500015548010155484D4D000101,UHMM
4700278183525500015548010155485050000101,UHPP
4700278183525500015549010155494949000101,UIII
470027818352550001554C0101554C4141000101,ULAA
470027818352550001554C0101554C4B4B000101,ULKK
470027818352550001554C0101554C4C4C000101,ULLL
470027818352550001554C0101554C4D4D000101,ULMM
470027818352550001554C0101554C5757000101,ULWW
470027818352550001554D0101554D4B4B000101,UMKK
470027818352550001554E0101554E4B4C000101,UNKL
470027818352550001554E0101554E4E54000101,UNNT
4700278183525500015552010155525256000101,URRV
4700278183525500015553010155535356000101,USSV
4700278183525500015553010155535456000101,USTV
4700278183525500015555010155555756000101,UUWV
4700278183525500015555010155555959000101,UUYY
4700278183525500015557010155575757000101,UWWW
4700278183525300014241010100004553303101,LYBA
4700278183534B00014242010100004553303101,LZBB
4700278183534900014C41010100004553303101,LJLA
470027818345530001434D01010000DAA7303101,GCCC
470027818345530001434D010100004553303101,LECB
470027818345530001434D010100006AA8303101,LECM
4700278183534500014D4D010100004553303101,ESMM
4700278183534500014F53010100004553303101,ESOS
4700278183434800015353010145534745303101,LSAG
4700278183434800015353010145535A48303101,LSAZ
4700278183434800015353010145534348303101,LSAC
4700278183544A00014444010100004553303101,UTDD
47002781834D4B00015353010100004553303101,LWSS
4700278183544E00015443010100004553303101,DTTC
4700278183545200014141010100004553303101,LTAA
4700278183545200014242010100004553303101,LTBB
4700278183544D00014141010100004553303101,UTAA
4700278183554100014256010100004553303101,UKBV
4700278183554100014456010100004553303101,UKDV
4700278183554100014656010100004553303101,UKFV
4700278183554100014C56010100004553303101,UKLV
4700278183554100014F56010100004553303101,UKOV
4700278183474200014758010100004553303101,EGGX
4700278183474200015058010100004553303101,EGPX
4700278183474200015454010100004553303101,EGTT
4700278183474200014949010100004553303101,EGII
4700278183555A00014E52010100004553303101,UTNR
4700278183555A00015344010100004553303101,UTSD
4700278183555A00015452010100004553303101,UTTR
4700278183415400115656000154455354000101,TESTLOVV
4700278183415400115657000154455354000201,TESTLOVW
4700278183415400115645000154455354000301,TESTLOVE
4700278183485200115A4F000154455354000101,TESTLDZO
4700278183485200115A54000154455354000201,TESTLDZT
4700278183435900114343000154455354000101,TESTLCCC
4700278183444B0011444B000154455354000101,TESTEKDK
4700278183657500115059000100004747313101,LFPYTEST
4700278183657500114459000154455354000101,TESTEDYY
470027818365750011414D000100004747303301,LFPYECAA
470027818365750011414D000100004747303101,LFPYECEO
470027818365750011414D000100004147303101,LFPYECDE
4700278183657500114554000145444C54473101,LFPYEDTA
4700278183657500114554000145444C54473201,LFPYEDTB
4700278183657500114554000145444C54473301,LFPYEDTC
4700278183657500115349000145534144533101,LFPYADSC
4700278183465200014343014345542D42445801,TESTLFBB
4700278183465200014343014345542D524D5301,TESTLFEE
4700278183465200014343014345542D41544801,TESTLFFF
4700278183465200014343014345542D41495801,TESTLFMM
4700278183465200014343014345542D42535401,TESTLFRR
4700278183444500014444000154455354000101,TESTEDDD
4700278183444500115555000154455354000101,TESTEDUU
4700278183444500115555000154455354000201,TESTEDGG
4700278183444500115555000154455354000301,TESTEDMM
4700278183444500115555000154455354000401,TESTEDWW
4700278183485500114343000154455354000101,TESTLHCC
4700278183495400015252018D54455354000101,TESTLIBB
4700278183495400015252018E54455354000201,TESTLIMM
4700278183495400015252018F54455354000301,TESTLIPP
4700278183495400015252018C54455354000401,TESTLIRR
4700278183494500114154000154455354000101,TESTEIAT
4700278183494500114154000154455354000201,TESTEIAU
470027818349450001534E000154455354000301,TESTEISN
4700278183494500014457000154455354000401,TESTEIDW
4700278183505400115043000154455354303101,TESTLPPC
4700278183524F00114242010100004553303201,TESTLRBB
4700278183525500115555000154455354000101,TESTUUWV
470027818352550011554C000154455354000101,TESTULLL
4700278183525500115552000154455354000101,TESTURRV
4700278183534900114C41000154455354000101,TESTLJLA
4700278183534900114C41000154455354000201,TESTLJLD
470027818345530011434D00010000DAA7303101,TESTGCCC
470027818345530011434D000100004553303101,TESTLECB
470027818345530011434D000100006AA8303101,TESTLECM
4700278183534500114D4D000154455354000101,TESTESMM
4700278183534500115341000154455354000101,TESTSESA
4700278183434800115353000154455354303101,TESTLSAG
4700278183434800115353000154455354303201,TESTLSAZ
4700278183434800115353000154455354303301,TESTLSAC
4700278183474200115058010100004553303201,TESTEGPX
4700278183474200115454010100004553303201,TESTEGTT
4700278183474200114949010100004553303201,TESTEGII
4700270145474900114931000154455354000101,TESTEGI1
4700270145474900114932000154455354000201,TESTEGI2
4700270145474900114933000154455354000301,TESTEGI3
4700270145474900114934000154455354000401,TESTEGI4
4700270153495400000001000100004553303101,SITATEST
